title,dtg,dist,release,genre,runtime,budget,rating,foreign,foreign_dist,foreign_release,foreign_opening,foreign_pct,foreign_total,foreign_asof,hungary,hun_dist,hun_release,hun_opening,hun_pct,hun_total,hun_asof
Final Destination 5,"$42,587,643",Warner Bros. (New Line),"August 12, 2011",Horror,1 hrs. 35 min.,$40 million,R,FOREIGN TOTAL,-,8/12/11,n/a,-,"$115,300,000",10/16/11,Hungary,InterCom,9/8/11,"$157,613",31.7%,"$496,463",10/16/11
The Ides of March,"$40,962,534",Sony / Columbia,"October 7, 2011",Thriller,1 hrs. 42 min.,N/A,R,FOREIGN TOTAL,-,10/13/11,n/a,-,"$35,030,527",4/22/12,Hungary,Budapest,1/26/12,"$59,636",59.9%,"$99,640",2/5/12
Hanna,"$40,259,119",Focus Features,"April 8, 2011",Adventure,1 hrs. 51 min.,$30 million,PG-13,FOREIGN TOTAL,-,4/7/11,n/a,-,"$23,522,959",8/21/11,Hungary,InterCom,6/23/11,"$45,556",100%,"$45,556",6/26/11
Something Borrowed,"$39,046,489",Warner Bros.,"May 6, 2011",Romantic Comedy,1 hrs. 43 min.,$35 million,PG-13,FOREIGN TOTAL,-,5/5/11,"$2,700,000",12.8%,"$21,137,332",6/26/11,Hungary,-,6/16/11,"$53,007",20%,"$265,324",7/24/11
Spy Kids: All the Time in the World,"$38,538,188",Weinstein / Dimension,"August 19, 2011",Family Adventure,1 hrs. 28 min.,$27 million,PG,FOREIGN TOTAL,-,8/18/11,"$4,153,567",8.8%,"$47,026,122",5/6/12,Hungary,Forum,10/27/11,"$60,941",24.6%,"$247,347",11/20/11
Scream 4,"$38,180,928",Weinstein / Dimension,"April 15, 2011",Horror,1 hrs. 43 min.,$40 million,R,FOREIGN TOTAL,-,4/14/11,"$17,864,621",30.3%,"$58,957,758",10/30/11,Hungary,Forum,4/14/11,"$27,756",51.8%,"$53,605",4/24/11
"Big Mommas: Like Father, Like Son","$37,915,414",Fox,"February 18, 2011",Action Comedy,1 hrs. 47 min.,$32 million,PG-13,FOREIGN TOTAL,-,2/17/11,"$3,521,104",7.9%,"$44,770,652",6/26/11,Hungary,InterCom,2/17/11,"$119,199",41.6%,"$286,269",3/13/11
Red Riding Hood,"$37,662,162",Warner Bros.,"March 11, 2011",Drama / Thriller,1 hrs. 40 min.,$42 million,PG-13,FOREIGN TOTAL,-,3/10/11,"$692,553",1.3%,"$51,500,000",5/15/11,Hungary,InterCom,4/28/11,"$45,173",32.3%,"$139,965",5/22/11
In Time,"$37,520,095",Fox,"October 28, 2011",Sci-Fi Thriller,1 hrs. 49 min.,$40 million,PG-13,FOREIGN TOTAL,-,10/27/11,"$15,363,070",11.3%,"$136,410,501",4/1/12,Hungary,InterCom,10/27/11,"$229,067",25.3%,"$904,823",12/11/11
Paul,"$37,412,945",Universal,"March 18, 2011",Sci-Fi Comedy,1 hrs. 40 min.,$40 million,R,FOREIGN TOTAL,-,2/18/11,"$8,944,523",14.8%,"$60,571,070",10/16/11,Hungary,InterCom,5/12/11,"$21,697",58.1%,"$37,360",5/22/11
The Change-Up,"$37,081,475",Universal,"August 5, 2011",Comedy,1 hrs. 41 min.,$52 million,R,FOREIGN TOTAL,-,8/12/11,"$33,256",0.1%,"$38,368,962",1/22/12,Hungary,UIP,11/24/11,"$69,106",31.7%,"$218,306",12/25/11
Colombiana,"$36,665,854",TriStar,"August 26, 2011",Action,1 hrs. 47 min.,$40 million,PG-13,FOREIGN TOTAL,-,7/27/11,"$2,449,105",10.1%,"$24,300,000",10/2/11,Hungary,-,9/15/11,"$16,086",78.6%,"$20,461",9/18/11
Sucker Punch,"$36,392,502",Warner Bros.,"March 25, 2011",Action,2 hrs. 0 min.,$82 million,PG-13,FOREIGN TOTAL,-,3/24/11,"$6,500,000",12.2%,"$53,400,000",5/1/11,Hungary,InterCom,3/24/11,"$76,771",40.2%,"$190,907",4/17/11
Larry Crowne,"$35,608,245",Universal,"July 1, 2011",Romantic Comedy,1 hrs. 39 min.,$30 million,PG-13,FOREIGN TOTAL,-,6/30/11,"$3,000,000",8.2%,"$36,400,000",5/13/12,Hungary,-,6/30/11,"$70,013",30.7%,"$228,167",7/31/11
Drive,"$35,060,689",FilmDistrict,"September 16, 2011",Action Drama,1 hrs. 43 min.,$15 million,R,FOREIGN TOTAL,-,9/15/11,n/a,-,"$41,114,477",4/1/12,Hungary,Forum,9/15/11,"$58,045",30.5%,"$190,190",10/9/11
50/50,"$35,014,192",Summit Entertainment,"September 30, 2011",Comedy / Drama,1 hrs. 39 min.,$8 million,R,FOREIGN TOTAL,-,10/6/11,n/a,-,"$4,173,591",12/11/11,Hungary,Forum,12/22/11,"$6,013",100%,"$6,013",12/25/11
The Rite,"$33,047,633",Warner Bros. (New Line),"January 28, 2011",Thriller,1 hrs. 52 min.,$37 million,PG-13,FOREIGN TOTAL,-,2/2/11,"$219,470",0.3%,"$63,000,000",4/24/11,Hungary,InterCom,3/10/11,"$67,262",27.2%,"$247,472",4/3/11
The Debt,"$31,177,548",Focus Features,"August 31, 2011",Drama / Thriller,1 hrs. 53 min.,$20 million,R,FOREIGN TOTAL,-,6/15/11,"$616,248",4.3%,"$14,458,820",12/11/11,Hungary,UIP,11/17/11,"$16,835",100%,"$16,835",11/20/11
The Iron Lady,"$30,017,992",Weinstein Company,"December 30, 2011",Drama,1 hrs. 45 min.,N/A,PG-13,FOREIGN TOTAL,-,12/26/11,n/a,-,"$84,938,707",4/15/12,Hungary,Budapest,2/2/12,"$57,323",16.3%,"$350,876",3/18/12
Toy Story 3,"$415,004,880",Buena Vista,"June 18, 2010",Animation,1 hrs. 43 min.,$200 million,G,FOREIGN TOTAL,-,6/16/10,"$34,970,499",5.4%,"$648,167,031",1/30/11,Hungary,Forum,6/17/10,"$262,936",26.9%,"$977,268",8/1/10
Alice in Wonderland,"$334,191,110",Buena Vista,"March 5, 2010",Family Adventure,1 hrs. 49 min.,$200 million,PG,FOREIGN TOTAL,-,3/3/10,"$94,000,000",13.6%,"$691,276,000",7/10/11,Hungary,Forum Films,3/4/10,"$414,223",26.4%,"$1,567,143",5/9/10
Iron Man 2,"$312,433,331",Paramount,"May 7, 2010",Action / Adventure,2 hrs. 5 min.,$200 million,PG-13,FOREIGN TOTAL,-,4/28/10,"$92,643,790",29.7%,"$311,500,000",9/6/10,Hungary,PPI,4/29/10,"$50,132",7.1%,"$704,870",6/6/10
The Twilight Saga: Eclipse,"$300,531,751",Summit Entertainment,"June 30, 2010",Romance,2 hrs. 4 min.,$68 million,PG-13,FOREIGN TOTAL,-,6/30/10,"$71,316,296",17.9%,"$397,959,596",2/23/11,Hungary,Forum,6/30/10,"$430,162",31.9%,"$1,348,790",8/1/10
Harry Potter and the Deathly Hallows Part 1,"$295,983,305",Warner Bros.,"November 19, 2010",Fantasy,2 hrs. 30 min.,N/A,PG-13,FOREIGN TOTAL,-,11/17/10,"$205,000,000",30.9%,"$664,300,000",N/A,Hungary,InterCom,11/25/10,"$872,000",40.1%,"$2,174,361",1/23/11
Inception,"$292,576,195",Warner Bros.,"July 16, 2010",Sci-Fi Action,2 hrs. 28 min.,$160 million,PG-13,FOREIGN TOTAL,-,7/15/10,"$13,724,035",2.6%,"$532,956,569",3/6/11,Hungary,InterCom,7/22/10,"$396,266",16.4%,"$2,418,217",10/17/10
Despicable Me,"$251,513,985",Universal,"July 9, 2010",Animation,1 hrs. 35 min.,$69 million,PG,FOREIGN TOTAL,-,7/8/10,"$4,901,790",1.7%,"$291,600,000",4/17/11,Hungary,UIP,11/4/10,"$304,670",33.8%,"$900,085",12/12/10
Shrek Forever After,"$238,736,787",Paramount (DreamWorks),"May 21, 2010",Animation,1 hrs. 33 min.,$165 million,PG,FOREIGN TOTAL,-,5/20/10,"$25,798,120",5%,"$513,864,080",4/4/11,Hungary,UIP,7/8/10,"$605,068",18.6%,"$3,255,213",9/26/10
How to Train Your Dragon,"$217,581,231",Paramount (DreamWorks),"March 26, 2010",Animation,1 hrs. 38 min.,$165 million,PG,FOREIGN TOTAL,-,3/18/10,"$8,916,106",3.2%,"$277,297,528",12/19/10,Hungary,UIP,3/25/10,"$172,790",17.8%,"$972,038",6/6/10
